"id","value"
"TemporaryArchitecture.post-disaster.memorial.185&Empty&Chairs&","100"
"TemporaryArchitecture.post-disaster.memorial.Flowers&in&road&cones","230"
"TemporaryArchitecture.post-disaster.memorial.River&of&flowers","54"
"TemporaryArchitecture.post-disaster.performance&venue",""
"TemporaryArchitecture.post-disaster.performance&venue.Events&Village","272"
"TemporaryArchitecture.post-disaster.performance&venue.RentClub","14"
"TemporaryArchitecture.post-disaster.public&games",""
"TemporaryArchitecture.post-disaster.public&games.CPIT&DesignSLASHBuild","164"
"TemporaryArchitecture.post-disaster.public&safetySLASHexlusion",""
"TemporaryArchitecture.post-disaster.public&safetySLASHexlusion.red&zone","134"
"TemporaryArchitecture.post-disaster.toilets",""
"TemporaryArchitecture.post-disaster.toilets.portaloos","58"
"TemporaryArchitecture.post-disaster.toilets.portaloos&sumner","60"
"TemporaryArchitecture.protest",""
"TemporaryArchitecture.protest.artwork_by_established_artist",""
"TemporaryArchitecture.protest.artwork_by_established_artist.Cardencity","250"
"TemporaryArchitecture.protest.protest",""
"TemporaryArchitecture.protest.protest.100&days&to&reclaim&democracy","26"
"TemporaryArchitecture.protest.protest.Occupy&Christchurch","56"
"TemporaryArchitecture.protest.protest.Occupy&Christchurch","56"
"TemporaryArchitecture.regeneration",""
"TemporaryArchitecture.regeneration.artwork_by_established_artist",""
"TemporaryArchitecture.regeneration.artwork_by_established_artist.ChapmansHomer","112"
"TemporaryArchitecture.regeneration.artwork_by_established_artist.SteepPeople","110"
"TemporaryArchitecture.regeneration.artworkbyamateur",""
"TemporaryArchitecture.regeneration.artworkbyamateur.Knit&Happens","264"
"TemporaryArchitecture.regeneration.audio&project",""
"TemporaryArchitecture.regeneration.audio&project.Transitional&Audio&Tour","374"
"TemporaryArchitecture.regeneration.bar",""
"TemporaryArchitecture.regeneration.bar.CoffeeZone","300"
"TemporaryArchitecture.regeneration.bar.Samo&Cafe","96"
"TemporaryArchitecture.regeneration.bar.The&Flying&Cup","262"
"TemporaryArchitecture.regeneration.community&space",""
"TemporaryArchitecture.regeneration.community&space.Butterfly_Gap","192"
"TemporaryArchitecture.regeneration.community&space.We&Love&Pop&Up","122"
"TemporaryArchitecture.regeneration.dance",""
"TemporaryArchitecture.regeneration.dance.Dance_o_mat","178"
"TemporaryArchitecture.regeneration.exhibition",""
"TemporaryArchitecture.regeneration.exhibition.Art&box","142"
"TemporaryArchitecture.regeneration.exhibition.Ortzeit","156"
"TemporaryArchitecture.regeneration.exhibition.reconstruction&of&a&city","48"
"TemporaryArchitecture.regeneration.exhibition.Thinking&Outside&the&Square","352"
"TemporaryArchitecture.regeneration.festivalSLASHevent",""
"TemporaryArchitecture.regeneration.festivalSLASHevent.Art&Beat","316"
"TemporaryArchitecture.regeneration.festivalSLASHevent.Buskers&Festival","94"
"TemporaryArchitecture.regeneration.festivalSLASHevent.GapFiller_1","154"
"TemporaryArchitecture.regeneration.festivalSLASHevent.luxcity","50"
"TemporaryArchitecture.regeneration.festivalSLASHevent.Reentry","184"
"TemporaryArchitecture.regeneration.festivalSLASHevent.Songs&For&Christchurch","380"
"TemporaryArchitecture.regeneration.filmSLASHcinema",""
"TemporaryArchitecture.regeneration.filmSLASHcinema.Cycle&Powered&Cinema","176"
"TemporaryArchitecture.regeneration.filmSLASHcinema.Film&in&the&Gap","158"
"TemporaryArchitecture.regeneration.filmSLASHcinema.Tati","12"
"TemporaryArchitecture.regeneration.gardenSLASHpark",""
"TemporaryArchitecture.regeneration.gardenSLASHpark.BeachGarden","308"
"TemporaryArchitecture.regeneration.gardenSLASHpark.CarParkFrontage","292"
"TemporaryArchitecture.regeneration.gardenSLASHpark.Fitzgerald&Community&Garden","304"
"TemporaryArchitecture.regeneration.gardenSLASHpark.Four&Corners&Youth&Space&","204"
"TemporaryArchitecture.regeneration.gardenSLASHpark.Rotherdam&Clock&Park","310"
"TemporaryArchitecture.regeneration.gardenSLASHpark.Salisbury&St&Garden","306"
"TemporaryArchitecture.regeneration.gardenSLASHpark.St&Lukes&Labyrinth","210"
"TemporaryArchitecture.regeneration.gardenSLASHpark.VictoriaGreen","290"
"TemporaryArchitecture.regeneration.office&space",""
"TemporaryArchitecture.regeneration.office&space.Box&Quarter","148"
"TemporaryArchitecture.regeneration.office&space.Epic","8"
"TemporaryArchitecture.regeneration.office&space.Gap&Filler&Office","174"
"TemporaryArchitecture.regeneration.office&space.LIVS&HQ","64"
